film,year,sag_nominee_CAST IN A MOTION PICTURE,sag_nominee_LEADING ROLE - FEMALE,sag_nominee_SUPPORTING ROLE - FEMALE,sag_nominee_LEADING ROLE - MALE,sag_nominee_MALE SUPPORT IN A MOTION PICTURE ,sag_nominee_SUPPORTING ROLE - MALE,sag_winner_CAST IN A MOTION PICTURE,sag_winner_LEADING ROLE - FEMALE,sag_winner_SUPPORTING ROLE - FEMALE,sag_winner_LEADING ROLE - MALE,sag_winner_MALE SUPPORT IN A MOTION PICTURE ,sag_winner_SUPPORTING ROLE - MALE,imdb_id
SLUMDOG MILLIONAIRE,2009 - 15th Annual,1,0,0,0,0,0,1,0,0,0,0,0,1010048
SMOKE,1996 - 2nd Annual,0,0,1,0,0,0,0,0,0,0,0,0,23640230
SOMETHING'S GOTTA GIVE,2004 - 10th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0337741
SPANGLISH,2005 - 11th Annual,0,0,1,0,0,0,0,0,0,0,0,0,0371246
SPOTLIGHT,2016 - 22nd Annual,1,0,0,0,0,0,1,0,0,0,0,0,1895587
ST. VINCENT,2015 - 21st Annual,0,0,1,0,0,0,0,0,0,0,0,0,2170593
STILL ALICE,2015 - 21st Annual,0,1,0,0,0,0,0,1,0,0,0,0,3316960
STRAIGHT OUTTA COMPTON,2016 - 22nd Annual,1,0,0,0,0,0,0,0,0,0,0,0,1398426
THE APOSTLE,1998 - 4th Annual,0,0,0,1,0,0,0,0,0,0,0,0,0118632
THE ARTIST,2012 - 18th Annual,1,0,1,1,0,0,0,0,0,1,0,0,1655442
THE AVIATOR,2005 - 11th Annual,1,0,1,1,0,0,0,0,1,0,0,0,0338751
THE BEST EXOTIC MARIGOLD HOTEL,2013 - 19th Annual,1,0,1,0,0,0,0,0,0,0,0,0,1412386
THE BIG SHORT,2016 - 22nd Annual,1,0,0,0,0,0,0,0,0,0,0,0,1596363
THE BIG SICK,2018 - 24th Annual,1,0,0,0,0,0,0,0,0,0,0,0,5462602
THE BIRDCAGE,1997 - 3rd Annual,1,0,0,0,0,0,1,0,0,0,0,0,0115685
THE BLIND SIDE,2010 - 16th Annual,0,1,0,0,0,0,0,1,0,0,0,0,0878804
THE BRIDGES OF MADISON COUNTY,1996 - 2nd Annual,0,1,0,0,0,0,0,0,0,0,0,0,0112579
THE CIDER HOUSE RULES,2000 - 6th Annual,1,0,0,0,0,0,0,0,0,0,0,0,0124315
THE CLIENT,1995 - 1st Annual,0,1,0,0,0,0,0,0,0,0,0,0,0109446
THE CONSTANT GARDENER,2006 - 12th Annual,0,0,1,0,0,0,0,0,1,0,0,0,0387131
THE CONTENDER,2001 - 7th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0208874
THE COOLER,2004 - 10th Annual,0,0,1,0,0,0,0,0,0,0,0,0,0318374
THE CROSSING GUARD,1996 - 2nd Annual,0,0,1,0,0,0,0,0,0,0,0,0,0112744
THE CURIOUS CASE OF BENJAMIN BUTTON,2009 - 15th Annual,1,0,1,1,0,0,0,0,0,0,0,0,0421715
THE DEPARTED,2007 - 13th Annual,1,0,0,0,0,0,0,0,0,0,0,0,0407887
THE DESCENDANTS,2012 - 18th Annual,1,0,0,1,0,0,0,0,0,0,0,0,1033575
THE DEVIL WEARS PRADA,2007 - 13th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0458352
THE END OF THE AFFAIR,2000 - 6th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0172396
THE ENGLISH PATENT,1997 - 3rd Annual,0,0,1,0,0,0,0,0,0,0,0,0,0116209
THE ENGLISH PATIENT,1997 - 3rd Annual,1,1,0,1,0,0,0,0,0,0,0,0,0116209
THE FAVOURITE,2019 - 25th Annual,0,1,1,0,0,0,0,0,0,0,0,0,5083738
THE FIGHTER,2011 - 17th Annual,1,0,1,0,0,0,0,0,1,0,0,0,0964517
THE FULL MONTY,1998 - 4th Annual,1,0,0,0,0,0,1,0,0,0,0,0,0119164
THE GRAND BUDAPEST HOTEL,2015 - 21st Annual,1,0,0,0,0,0,0,0,0,0,0,0,2278388
THE GREEN  MILE,2000 - 6th Annual,1,0,0,0,0,0,0,0,0,0,0,0,0120689
THE GREEN MILE,2000 - 6th Annual,1,0,0,0,0,0,0,0,0,0,0,0,0120689
THE HELP,2012 - 18th Annual,1,1,1,0,0,0,1,1,1,0,0,0,1454029
THE HOURS,2003 - 9th Annual,1,1,1,0,0,0,0,0,0,0,0,0,0274558
THE HURRICANE,2000 - 6th Annual,0,0,0,1,0,0,0,0,0,0,0,0,0174856
THE HURT LOCKER,2010 - 16th Annual,1,0,0,1,0,0,0,0,0,0,0,0,0887912
THE IMITATION GAME,2015 - 21st Annual,1,0,1,1,0,0,0,0,0,0,0,0,2084970
THE IMPOSSIBLE,2013 - 19th Annual,0,1,0,0,0,0,0,0,0,0,0,0,1649419
THE INSIDER,2000 - 6th Annual,0,0,0,1,0,0,0,0,0,0,0,0,0140352
THE IRON LADY,2012 - 18th Annual,0,1,0,0,0,0,0,0,0,0,0,0,1007029
