film,year_film,gg_nominee_Best Motion Picture - Drama,gg_winner_Best Motion Picture - Drama,gg_nominee_Best Motion Picture - Musical or Comedy,gg_winner_Best Motion Picture - Musical or Comedy,gg_nominee_Best Performance by an Actress in a Motion Picture - Drama,gg_winner_Best Performance by an Actress in a Motion Picture - Drama,gg_nominee_Best Performance by an Actor in a Motion Picture - Drama,gg_winner_Best Performance by an Actor in a Motion Picture - Drama,gg_nominee_Best Performance by an Actor in a Motion Picture - Musical or Comedy,gg_winner_Best Performance by an Actor in a Motion Picture - Musical or Comedy,gg_nominee_Best Performance by an Actress in a Supporting Role in any Motion Picture,gg_winner_Best Performance by an Actress in a Supporting Role in any Motion Picture,gg_nominee_Best Performance by an Actor in a Supporting Role in any Motion Picture,gg_winner_Best Performance by an Actor in a Supporting Role in any Motion Picture,gg_nominee_Best Director - Motion Picture,gg_winner_Best Director - Motion Picture,gg_nominee_Best Screenplay - Motion Picture,gg_winner_Best Screenplay - Motion Picture,gg_nominee_Best Original Score - Motion Picture,gg_winner_Best Original Score - Motion Picture,gg_nominee_Best Motion Picture - Foreign Language,gg_winner_Best Motion Picture - Foreign Language,gg_nominee_Best Original Song - Motion Picture,gg_winner_Best Original Song - Motion Picture,gg_nominee_Best Performance by an Actress in a Motion Picture - Musical or Comedy,gg_winner_Best Performance by an Actress in a Motion Picture - Musical or Comedy,gg_nominee_Best Motion Picture - Animated,gg_winner_Best Motion Picture - Animated,imdb_id
Amistad,1997,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118607.0
"Amityville Horror, The",1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78767.0
An American In Paris,1951,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43278.0
Analyze This,1999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122933.0
Anastasia,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,118617.0
Anastasia (1956),1956,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48947.0
Anatomy of a Murder,1959,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52561.0
And Justice For All,1979,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78718.0
"Andromeda Strain, The",1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66769.0
Angela's Ashes,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,145653.0
Animal Kingdom,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5574490.0
Anna,1987,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7456310.0
Anna Karenina,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1781769.0
Anna and the King,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,166485.0
Anne of the Thousand Days,1969,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,64030.0
Annie,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,83564.0
Annie (2014),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1823664.0
Annie Hall,1977,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,75686.0
Anomalisa,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2401878.0
Anywhere But Here,1999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149691.0
"Apartment, The",1960,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53604.0
Apocalypse Now,1979,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,78788.0
Apollo 13,1995,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,112384.0
"Appaloosa, The",1966,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60120.0
Arbitrage,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764183.0
Argo,2012,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1024648.0
Around the World in 80 Days,1956,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9174578.0
Arrival,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2543164.0
Arthur Christmas,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1430607.0
As Good as It Gets,1997,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,119822.0
Ash Wednesday,1973,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69736.0
"Assassination of Jesse James by the Coward Robert Ford, The",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443680.0
At Eternity's Gate,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6938828.0
At Play in the Fields of the Lord,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,101373.0
